Date,Value,Open,High,Low,Vol.,Change %
04/13/2011,1457.75,1452.49,1462.30,1450.96,,0.29%
04/12/2011,1453.60,1462.15,1467.50,1443.89,,-0.67%
04/11/2011,1463.40,1473.55,1476.61,1459.20,,-0.79%
04/08/2011,1475.10,1460.39,1476.85,1458.25,,1.14%
04/07/2011,1458.50,1460.70,1466.80,1454.09,,0.07%
04/06/2011,1457.50,1456.70,1462.41,1451.60,,0.44%
04/05/2011,1451.10,1437.05,1457.35,1430.10,,0.99%
04/04/2011,1436.94,1428.74,1438.94,1427.79,,0.60%
04/01/2011,1428.38,1432.59,1436.55,1413.05,,-0.25%
03/31/2011,1432.00,1424.85,1441.30,1422.25,,0.57%
03/30/2011,1423.88,1418.52,1430.50,1412.25,,0.36%
03/29/2011,1418.80,1422.20,1425.10,1412.85,,-0.13%
03/28/2011,1420.65,1427.85,1430.04,1411.95,,-0.63%
03/25/2011,1429.65,1432.80,1438.70,1422.79,,-0.10%
03/24/2011,1431.10,1439.29,1449.40,1425.20,,-0.49%
03/23/2011,1438.20,1429.49,1442.90,1427.61,,0.68%
03/22/2011,1428.55,1427.95,1428.74,1424.86,,0.11%
03/21/2011,1427.05,1426.46,1436.70,1425.19,,0.53%
03/18/2011,1419.55,1405.39,1425.70,1403.40,,1.08%
03/17/2011,1404.40,1401.99,1406.95,1388.25,,0.22%
03/16/2011,1401.30,1396.80,1408.35,1393.85,,0.38%
03/15/2011,1395.95,1429.49,1429.49,1382.90,,-2.29%
03/14/2011,1428.65,1422.09,1433.89,1419.79,,0.79%
03/11/2011,1417.40,1412.90,1424.55,1404.70,,0.28%
03/10/2011,1413.45,1429.45,1431.75,1403.12,,-1.12%
03/09/2011,1429.50,1428.59,1436.55,1423.31,,0.04%
03/08/2011,1428.89,1431.20,1437.16,1423.70,,-0.30%
03/07/2011,1433.17,1428.28,1445.03,1428.28,,0.27%
03/04/2011,1429.30,1416.09,1432.36,1413.41,,0.91%
03/03/2011,1416.40,1435.15,1436.55,1410.36,,-1.29%
03/02/2011,1434.95,1434.15,1440.50,1427.90,,0.08%
03/01/2011,1433.85,1410.94,1435.00,1409.35,,1.57%
02/28/2011,1411.65,1408.90,1416.60,1404.60,,0.17%
02/25/2011,1409.25,1402.06,1412.14,1399.54,,0.64%
02/24/2011,1400.25,1411.97,1418.42,1392.00,,-0.72%
02/23/2011,1410.45,1399.66,1416.80,1395.70,,0.88%
02/22/2011,1398.15,1406.56,1411.26,1393.14,,-0.59%
02/21/2011,1406.45,1388.45,1408.70,1388.45,,1.38%
02/18/2011,1387.30,1383.74,1392.15,1382.00,,0.26%
02/17/2011,1383.67,1374.53,1385.28,1374.43,,0.62%
02/16/2011,1375.11,1373.45,1382.29,1368.45,,0.12%
02/15/2011,1373.40,1362.02,1376.85,1360.85,,0.81%
02/14/2011,1362.31,1359.36,1367.15,1354.45,,0.46%
02/11/2011,1356.10,1363.51,1368.51,1353.99,,-0.43%
02/10/2011,1362.01,1363.41,1366.57,1350.78,,-0.07%
02/09/2011,1362.95,1364.14,1367.40,1358.36,,-0.08%
02/08/2011,1364.00,1350.65,1368.18,1348.45,,1.10%
02/07/2011,1349.10,1348.15,1353.40,1343.13,,-0.01%
02/04/2011,1349.25,1353.80,1358.43,1345.30,,-0.29%
02/03/2011,1353.20,1336.35,1356.15,1325.14,,1.23%
02/02/2011,1336.80,1340.89,1343.79,1326.80,,-0.28%
02/01/2011,1340.60,1332.15,1343.60,1325.65,,0.63%
01/31/2011,1332.19,1336.93,1346.18,1323.29,,-0.24%
01/28/2011,1335.35,1312.95,1347.21,1308.56,,1.82%
01/27/2011,1311.49,1346.74,1341.64,1309.09,,-2.56%
01/26/2011,1345.89,1333.11,1346.76,1325.06,,0.91%
